
Param1,Param2,Power,Gamma Point,Harmonic Number,A1 Real,A1 Imaginary,B1 Real,B1 Imaginary,A2 Real,A2 Imaginary,B2 Real,B2 Imaginary,V1,I1,V2,I2,,,,,,,,,,,,,,,,
0.1,6,-18,4,1,0.17804,1.03E-08,-0.05051,-0.1253,-0.083485,0.012534,0.053714,0.37593,-0.3,1.97E-07,3,0.04649,,,,,,,,,,,,,,,,
0.1,6,-18,4,2,9.47E-10,9.67E-10,-9.55E-05,0.0095738,0.00022372,-8.47E-05,0.012097,0.031998,-0.3,1.97E-07,3,0.04649,,,,,,,,,,,,,,,,
0.1,6,-18,4,3,2.93E-10,1.17E-09,-0.0043955,0.0073285,0.00027322,0.00011746,-0.011207,0.026043,-0.3,1.97E-07,3,0.04649,,,,,,,,,,,,,,,,
0.1,6,-24,5,1,0.089231,6.47E-09,-0.032581,-0.057079,-0.054125,-0.022947,0.032585,0.26191,-0.3,4.48E-09,3,0.038422,,,,,,,,,,,,,,,,
0.1,6,-24,5,2,4.7E-10,-2.43E-12,0.0023607,0.0023368,3.3E-05,-7.62E-05,0.01089,0.0047175,-0.3,4.48E-09,3,0.038422,,,,,,,,,,,,,,,,
0.1,6,-24,5,3,-4.16E-12,1.25E-10,-0.00064602,0.00060394,2.38E-05,1.95E-05,-0.0018567,0.0022718,-0.3,4.48E-09,3,0.038422,,,,,,,,,,,,,,,,
0.1,6,-23,5,1,0.10012,7.11E-09,-0.035868,-0.06491,-0.05945,-0.02549,0.034679,0.28832,-0.3,1.27E-08,3,0.039934,,,,,,,,,,,,,,,,
0.1,6,-23,5,2,6.08E-10,6.94E-12,0.0030089,0.003076,4.43E-05,-9.8E-05,0.014007,0.0063376,-0.3,1.27E-08,3,0.039934,,,,,,,,,,,,,,,,
0.1,6,-23,5,3,5.52E-12,1.92E-10,-0.0009314,0.00098579,3.83E-05,2.75E-05,-0.002626,0.0036537,-0.3,1.27E-08,3,0.039934,,,,,,,,,,,,,,,,
0.1,6,-22,5,1,0.11233,7.73E-09,-0.039157,-0.074254,-0.064626,-0.028227,0.035686,0.31459,-0.3,2.73E-08,3,0.04181,,,,,,,,,,,,,,,,
0.1,6,-22,5,2,7.8E-10,3.34E-11,0.0037351,0.0040682,6.08E-05,-0.00012388,0.017711,0.0086991,-0.3,2.73E-08,3,0.04181,,,,,,,,,,,,,,,,
0.1,6,-22,5,3,3.1E-11,2.95E-10,-0.0013178,0.001628,6.23E-05,3.79E-05,-0.0036121,0.0059364,-0.3,2.73E-08,3,0.04181,,,,,,,,,,,,,,,,
0.1,6,-21,5,1,0.12604,8.29E-09,-0.042361,-0.08541,-0.069467,-0.031149,0.035223,0.33997,-0.3,4.9E-08,3,0.043855,,,,,,,,,,,,,,,,
0.1,6,-21,5,2,9.51E-10,9.91E-11,0.0042576,0.0052539,8.36E-05,-0.00014681,0.020988,0.011969,-0.3,4.9E-08,3,0.043855,,,,,,,,,,,,,,,,
0.1,6,-21,5,3,7.94E-11,4.34E-10,-0.0017729,0.0025658,9.67E-05,4.92E-05,-0.0046931,0.0092215,-0.3,4.9E-08,3,0.043855,,,,,,,,,,,,,,,,
0.1,6,-20,5,1,0.14142,8.82E-09,-0.045308,-0.098692,-0.073749,-0.03416,0.033155,0.36338,-0.3,7.88E-08,3,0.045898,,,,,,,,,,,,,,,,
0.1,6,-20,5,2,1.09E-09,2.16E-10,0.0043507,0.0065104,0.00011204,-0.00016038,0.022928,0.016031,-0.3,7.88E-08,3,0.045898,,,,,,,,,,,,,,,,
0.1,6,-20,5,3,1.44E-10,6.24E-10,-0.0023974,0.0038404,0.00014361,6.48E-05,-0.0061821,0.013689,-0.3,7.88E-08,3,0.045898,,,,,,,,,,,,,,,,
0.1,6,-19,5,1,0.15868,9.24E-09,-0.047846,-0.11428,-0.077417,-0.037103,0.029974,0.38425,-0.3,1.26E-07,3,0.047836,,,,,,,,,,,,,,,,
0.1,6,-19,5,2,1.16E-09,3.72E-10,0.003943,0.0076702,0.00014273,-0.00016142,0.023074,0.020421,-0.3,1.26E-07,3,0.047836,,,,,,,,,,,,,,,,
0.1,6,-19,5,3,2E-10,8.72E-10,-0.0033619,0.0053581,0.00020045,9.1E-05,-0.0086815,0.019106,-0.3,1.26E-07,3,0.047836,,,,,,,,,,,,,,,,
0.1,6,-18,5,1,0.17804,9.55E-09,-0.049868,-0.13236,-0.080475,-0.039853,0.026167,0.40232,-0.3,2E-07,3,0.049669,,,,,,,,,,,,,,,,
0.1,6,-18,5,2,1.17E-09,5.49E-10,0.0031177,0.0085993,0.00017186,-0.00015064,0.02153,0.024586,-0.3,2E-07,3,0.049669,,,,,,,,,,,,,,,,
